KIC,lamost_id,RA (deg),DEC (deg),dtheta (arcsec),lamost filename 
 2713305,580605015,291.494200,37.962570,0.0238,spec-57918-KP192409N391242V04_sp05-015.fits.gz 
 2714090,369708190,291.661710,37.979309,0.0087,spec-57308-KP192409N391242V01_sp08-190.fits.gz 
 2714090,580608179,291.661710,37.979309,0.0087,spec-57918-KP192409N391242V04_sp08-179.fits.gz 
 2714397,369708216,291.729461,37.941681,1.8527,spec-57308-KP192409N391242V01_sp08-216.fits.gz 
 2716608, 52507113,292.216833,37.900278,0.0702,spec-56094-kepler05B56094_2_sp07-113.fits.gz 
 2719113, 52507196,292.766083,37.997917,0.0238,spec-56094-kepler05B56094_2_sp07-196.fits.gz 
 2832426,576501093,285.955570,38.003319,0.0331,spec-57908-KP190339N395439V03_sp01-093.fits.gz 
 2833697,243101101,286.342572,38.055617,3.3229,spec-56811-KP190339N395439V02_sp01-101.fits.gz 
 2833709,243101101,286.342572,38.055617,6.4588,spec-56811-KP190339N395439V02_sp01-101.fits.gz 
 2834230,576507049,286.500000,38.060030,4.2127,spec-57908-KP190339N395439V03_sp07-049.fits.gz 
 2845610, 52405224,289.864208,38.028111,0.0538,spec-56094-kepler05B56094_sp05-224.fits.gz 
 2848618,369705026,290.603550,38.054371,0.0360,spec-57308-KP192409N391242V01_sp05-026.fits.gz 
 2848618,580505026,290.603550,38.054371,0.0360,spec-57918-KP192409N391242V03_sp05-026.fits.gz 
 2848725,369805099,290.627040,38.003071,0.0075,spec-57308-KP192409N391242V02_sp05-099.fits.gz 
 2848725,580605026,290.627040,38.003071,0.0075,spec-57918-KP192409N391242V04_sp05-026.fits.gz 
 2852961,369708185,291.546595,38.052698,2.4228,spec-57308-KP192409N391242V01_sp08-185.fits.gz 
 2856589,580608106,292.311130,38.060951,0.0043,spec-57918-KP192409N391242V04_sp08-106.fits.gz 
 2858740, 52507179,292.768792,38.028583,0.0374,spec-56094-kepler05B56094_2_sp07-179.fits.gz 
 2860010,373102108,293.040650,38.004601,0.0240,spec-57314-KP193708N401249V01_sp02-108.fits.gz 
 2860936, 52406215,293.241917,38.043361,0.1900,spec-56094-kepler05B56094_sp06-215.fits.gz 
 2860936, 52802104,293.241917,38.043361,0.1900,spec-56096-kepler08B56096_1_sp02-104.fits.gz 
 2861630,580507142,293.392490,38.059139,0.0307,spec-57918-KP192409N391242V03_sp07-142.fits.gz 
 2984102,369805226,290.101260,38.161461,0.0043,spec-57308-KP192409N391242V02_sp05-226.fits.gz 
 2984102,580705242,290.101260,38.161461,0.0043,spec-57918-KP192409N391242V05_sp05-242.fits.gz 
 2987113,369805040,290.855270,38.153543,1.6108,spec-57308-KP192409N391242V02_sp05-040.fits.gz 
 2988295,369805128,291.137050,38.131821,0.0244,spec-57308-KP192409N391242V02_sp05-128.fits.gz 
 2988295,580605140,291.137050,38.131821,0.0244,spec-57918-KP192409N391242V04_sp05-140.fits.gz 
