  2165450 19301649+3735048  19:30:16.498 +37:35:04.81 10.95 5003 100  104.25    0.54    8.12    0.05 183      5.17        2.24    0.10    8.47    0.14    2.93    0.01 -999.      0.99    0.03 -999.   -999.   0 -999.    0 0 2
  2166766 19312477+3733124  19:31:24.775 +37:33:12.42 12.27 5023 176   44.22    0.31    4.60    0.05 1.88e+03 75.4        1.68    0.13   11.24    0.33    2.56    0.01  326.60    1.52    0.04 -999.   -999.   0 -999.    0 1 2
  2167774 19321701+3731246  19:32:17.013 +37:31:24.67  9.85 4710  94   60.39    0.20    5.77    0.05 1.89e+03 61          1.56    0.08    9.42    0.20    2.68    0.01 -999.   -999.      0.05 -999.   -999.   0 -999.    0 0 2
  2283075 19040434+3737566  19:04:04.341 +37:37:56.60 10.91 4688  94   69.24    0.23    6.54    0.05 1.26e+03 36          1.42    0.07    8.40    0.16    2.74    0.01   68.90    1.26    0.05 -999.   -999.   0 -999.    0 1 1
  2283435 19043264+3738587  19:04:32.650 +37:38:58.78 12.19 4963 174   29.62    0.22    4.24    0.05 7.73e+03 375         0.68    0.06    8.79    0.27    2.39    0.01  305.10    1.20    0.07 -999.   -999.   0 -999.    0 1 2
  2284330 19053984+3737500  19:05:39.845 +37:37:50.02 12.18 4897 171   28.68    0.24    3.66    0.05 6.54e+03 323         1.09    0.09   11.34    0.39    2.37    0.01  310.60    1.55    0.06 -999.   -999.   0 -999.    0 1 2
  2284679 19060736+3740100  19:06:07.366 +37:40:09.98 11.40 4832  97  199.61    0.28   16.06    0.05 213      5.59        0.98    0.04    4.08    0.05    3.21    0.01 -999.      1.08    0.03 -999.   -999.   0 -999.    0 0 1
  2285898 19074491+3741456  19:07:44.914 +37:41:45.64 10.84 4774  95   25.05    0.23    3.85    0.05 1.69e+04 820         0.58    0.04    8.86    0.27    2.30    0.01  273.80    1.28    0.10 -999.   -999.   0 -999.    0 1 2
  2297785 19210286+3737297  19:21:02.863 +37:37:29.71 11.68 4942  99   47.90    0.31    4.71    0.05 1.06e+03 39.8        1.89    0.11   11.49    0.29    2.59    0.01  289.50    1.28    0.04 -999.   -999.   0 -999.    0 1 2
  2299926 19230332+3738009  19:23:03.322 +37:38:00.96 12.07 4980 174   41.19    0.28    4.50    0.05 2.43e+03 101         1.46    0.12   10.89    0.32    2.53    0.01  306.40    0.93    0.05 -999.   -999.   0 -999.    0 1 2
