   KIC, 2MASS,        Kep_mag,  flag_act_osc, evol_status, Prot, logg_ast, err, NUV_xs, err, S_Ca_HK, err, S_Mg, err, S_Fe, err, S_Halpha, err, S_CaIR, err 
  2447046,19285988+3745187 ,12.08, 0,0,-999.00, 3.15, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  2447529,19292229+3746530 ,11.64, 2,2,101.00, 2.95, 0.01, -999, -999,0.235,0.003,0.641,0.006,0.870,0.009,0.692,0.006,0.563,0.006 
  2447604,19292597+3743597 ,10.75, 0,2,-999.00, 2.65, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  2448225,19295922+3747032 ,10.81, 0,2,-999.00, 2.46, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,0.441,0.020 
  2448260,19300102+3742402 ,11.28, 0,2,-999.00, 2.51, 0.01, -999, -999,0.145,0.002,0.667,0.004,0.882,0.005,0.709,0.004,0.528,0.006 
  2448679,19302355+3745440 ,12.09, 0,2,-999.00, 2.49, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  2448756,19302783+3746554 ,12.13, 0,2,-999.00, 2.46, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  2449020,19304378+3745086 ,11.91, 0,2,-999.00, 2.74, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  2449703,19312163+3743519 ,11.44, 0,2,-999.00, 2.41, 0.01, -999, -999,0.120,0.003,0.558,0.008,0.865,0.011,0.777,0.010,0.553,0.011 
  2450318,19315457+3747319 ,11.06, 0,1,-999.00, 3.05, 0.01, -999, -999,0.171,0.001,0.679,0.011,0.912,0.015,0.731,0.015,0.639,0.020 
  2451509,19325837+3742091 , 9.92, 0,1,-999.00, 2.82, 0.01, -999, -999,0.158,0.001,0.617,0.002,0.875,0.003,0.730,0.003,0.568,0.003 
  2556640,19062145+3750033 ,11.21, 0,2,-999.00, 2.51, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  2568563,19200622+3753403 ,11.34, 0,2,-999.00, 2.65, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  2572089,19222821+3752242 ,11.82, 0,2,-999.00, 2.55, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  2573092,19232571+3752335 ,11.58, 0,2,-999.00, 2.47, 0.01, -999, -999,0.158,0.002,0.606,0.005,0.856,0.008,0.754,0.007,0.538,0.007 
  2574191,19242558+3748145 ,12.20, 0,2,-999.00, 2.41, 0.01, -999, -999,0.146,0.002,0.738,0.005,0.890,0.005,0.747,0.006,0.579,0.006 
  2575044,19251215+3751212 ,12.40, 0,2,-999.00, 2.42, 0.01, -999, -999,0.022,0.000,0.658,0.008,0.873,0.011,0.708,0.010,0.540,0.010 
  2576993,19265005+3753434 ,10.89, 0,2,-999.00, 2.41, 0.01, -999, -999,0.141,0.002,0.726,0.007,0.899,0.010,0.735,0.008,0.567,0.010 
  2578198,19274843+3753327 ,11.70, 0,2,-999.00, 2.73, 0.01, -999, -999,0.145,0.001,0.657,0.004,0.888,0.005,0.758,0.006,0.582,0.004 
  2579661,19290451+3753345 ,12.20, 0,1,-999.00, 3.06, 0.01, -999, -999,0.200,0.006,0.609,0.013,0.879,0.017,0.720,0.014,0.557,0.018 
  2583386,19321986+3751336 ,11.76, 0,1,-999.00, 2.77, 0.01, -999, -999,0.146,0.001,0.562,0.003,0.849,0.004,0.756,0.004,0.535,0.004 
  2583651,19323428+3748489 ,10.61, 0,2,-999.00, 2.43, 0.01, -999, -999,0.122,0.002, -999, -999,0.841,0.005,0.773,0.005,0.522,0.004 
  2583884,19324627+3751249 ,10.41, 0,2,-999.00, 2.67, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  2584477,19331715+3749192 ,12.41, 0,0,-999.00, 2.96, 0.01, -999, -999,0.145,0.003,0.541,0.007,0.860,0.011,0.736,0.011,0.547,0.008 
  2584997,19334631+3748114 ,12.15, 0,1,-999.00, 3.19, 0.01, -999, -999,0.169,0.002,0.512,0.004,0.857,0.007,0.758,0.006,0.557,0.005 
  2585190,19335608+3752239 ,12.24, 0,2,-999.00, 2.59, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  2693261,19034982+3755463 ,10.08, 0,0,-999.00, 2.43, 0.01, -999, -999,0.164,0.003,0.644,0.005,0.845,0.007,0.764,0.006,0.549,0.007 
  2695267,19061931+3756414 , 9.51, 0,2,-999.00, 2.38, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  2696262,19074020+3757048 ,11.27, 0,2,-999.00, 2.81, 0.01, -999, -999,0.155,0.002,0.691,0.033,0.873,0.049,0.717,0.036,0.564,0.046 
  2696732,19081605+3757052 ,11.49, 0,1,-999.00, 2.88, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  2696739,19081665+3755043 ,12.11, 0,1,-999.00, 3.20, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  2696955,19083373+3754367 , 7.99, 0,2,-999.00, 2.95, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  2697501,19091637+3754037 ,12.04, 0,2,-999.00, 2.61, 0.01, -999, -999, -999, -999,0.617,0.094,0.841,0.133,0.735,0.095,0.526,0.079 
  2708803,19214847+3757485 , 9.44, 0,1,-999.00, 2.37, 0.01, -999, -999,0.186,0.001,0.708,0.004,0.905,0.005,0.733,0.005,0.589,0.006 
  2710194,19230991+3755447 ,12.15, 0,1,-999.00, 2.67, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  2713305,19255860+3757452 ,12.27, 0,1,-999.00, 2.65, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  2713894,19262891+3758173 ,12.12, 0,2,-999.00, 2.48, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  2714090,19263881+3758455 ,12.34, 0,2,-999.00, 2.62, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  2714397,19265491+3756300 ,10.51, 0,2,-999.00, 2.43, 0.01, -999, -999,0.133,0.005,0.712,0.009,0.911,0.010,0.747,0.011,0.583,0.010 
  2714785,19271735+3755229 ,12.29, 0,0,-999.00, 2.97, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  2716608,19285203+3754010 ,10.53, 0,2,-999.00, 2.75, 0.01, -999, -999,0.158,0.002,0.696,0.005,0.881,0.008,0.702,0.007,0.573,0.006 
  2719113,19310386+3759524 ,12.03, 2,0, 98.00, 2.41, 0.01, -999, -999,0.213,0.001,0.566,0.002,0.853,0.003,0.752,0.003,0.539,0.002 
  2719795,19313875+3758224 ,11.07, 0,0,-999.00, 2.63, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  2831788,19025800+3801446 ,10.01, 0,1,-999.00, 2.64, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  2832426,19034933+3800119 ,12.01, 0,2,-999.00, 2.58, 0.01, -999, -999,0.144,0.003,0.638,0.005,0.872,0.006,0.752,0.005,0.573,0.006 
  2833697,19052193+3803206 , 9.42, 2,2, 41.50, 2.39, 0.01, -999, -999,0.205,0.003,0.764,0.008,0.898,0.011,0.731,0.009,0.613,0.012 
  2833709,19052220+3803266 , 9.62, 3,0, 41.00, 2.42, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  2834230,19060000+3803403 ,10.43, 0,0,-999.00, 2.87, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  2836038,19082467+3805588 ,11.33, 0,2,-999.00, 2.48, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  2845408,19191455+3805185 ,10.66, 0,2,-999.00, 2.80, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  2845610,19192741+3801411 , 9.30, 2,1, 81.00, 2.88, 0.01, -999, -999,0.219,0.001,0.707,0.002,0.883,0.003,0.713,0.002,0.572,0.003 
  2846659,19202786+3800415 ,12.04, 0,1,-999.00, 2.91, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  2848618,19222484+3803157 ,11.87, 0,2,-999.00, 2.50, 0.01, -999, -999,0.112,0.001,0.591,0.002,0.854,0.003,0.779,0.003,0.529,0.003 
  2848725,19223049+3800110 ,11.97, 0,2,-999.00, 2.37, 0.01, -999, -999,0.157,0.003,0.714,0.007,0.898,0.008,0.715,0.008,0.582,0.008 
  2852961,19261136+3803107 ,10.15, 1,0, 35.50,-999.00,-999.00, -999, -999,0.548,0.003,0.687,0.009,0.880,0.011,0.833,0.010,0.659,0.024 
  2854994,19275853+3803252 ,10.50, 2,1,138.00, 3.05, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  2856412,19290517+3803467 ,12.18, 4,0,-999.00, 2.47, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  2856589,19291467+3803394 ,11.07, 0,1,-999.00, 2.39, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  2856795,19292444+3801077 ,11.35, 0,2,-999.00, 2.89, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  2856803,19292463+3803437 ,12.49, 0,2,-999.00, 2.41, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
